时间t	称重电压
59.6000	0.00014574
59.8000	0.00014580
60.0000	0.00014570
60.2000	0.00014569
60.4000	0.00014578
60.6000	0.00014576
60.8000	0.00014576
61.0000	0.00014578
61.2000	0.00014573
61.4000	0.00014568
61.6000	0.00014578
61.8000	0.00014571
62.0000	0.00014579
62.2000	0.00014573
62.4000	0.00014579
62.6000	0.00014574
62.8000	0.00014576
63.0000	0.00014576
63.2000	0.00014584
63.4000	0.00014574
63.6000	0.00014567
63.8000	0.00014577
64.0000	0.00014582
64.2000	0.00014574
64.4000	0.00014576
64.6000	0.00014581
64.8000	0.00014580
65.0000	0.00014573
65.2000	0.00014578
65.4000	0.00014573
65.6000	0.00014570
65.8000	0.00014578
66.0000	0.00014570
66.2000	0.00014568
66.4000	0.00014572
66.6000	0.00014575
66.8000	0.00014573
67.0000	0.00014580
67.2000	0.00014568
67.4000	0.00014572
67.6000	0.00014579
67.8000	0.00014576
68.0000	0.00014576
68.2000	0.00014567
68.4000	0.00014579
68.6000	0.00014581
68.8000	0.00014573
69.0000	0.00014577
69.2000	0.00014577
69.4000	0.00014575
69.6000	0.00014586
69.8000	0.00014578
70.0000	0.00014572
70.2000	0.00014570
70.4000	0.00014584
70.6000	0.00014584
70.8000	0.00014580
71.0000	0.00014580
71.2000	0.00014573
71.4000	0.00014573
71.6000	0.00014570
71.8000	0.00014573
72.0000	0.00014570
72.2000	0.00014580
72.4000	0.00014575
72.6000	0.00014571
72.8000	0.00014574
73.0000	0.00014580
73.2000	0.00014587
73.4000	0.00014574
73.6000	0.00014577
73.8000	0.00014574
74.0000	0.00014580
74.2000	0.00014576
74.4000	0.00014568
74.6000	0.00014576
74.8000	0.00014574
75.0000	0.00014580
75.2000	0.00014570
75.4000	0.00014573
75.6000	0.00014576
75.8000	0.00014570
76.0000	0.00014582
76.2000	0.00014571
76.4000	0.00014579
76.6000	0.00014578
76.8000	0.00014576
77.0000	0.00014568
77.2000	0.00014568
77.4000	0.00014574
77.6000	0.00014575
77.8000	0.00014583
78.0000	0.00014574
78.2000	0.00014579
78.4000	0.00014568
78.6000	0.00014919
78.8000	0.00015467
79.0000	0.00015588
79.2000	0.00015583
79.4000	0.00015587
79.6000	0.00015580
79.8000	0.00015585
80.0000	0.00015589
80.2000	0.00015582
80.4000	0.00015581
80.6000	0.00015584
80.8000	0.00015586
81.0000	0.00015584
81.2000	0.00015578
81.4000	0.00015582
81.6000	0.00015589
81.8000	0.00015593
82.0000	0.00015584
82.2000	0.00015578
82.4000	0.00015578
82.6000	0.00015591
82.8000	0.00015573
83.0000	0.00015586
83.2000	0.00015575
83.4000	0.00015580
83.6000	0.00015581
83.8000	0.00015583
84.0000	0.00015588
84.2000	0.00015580
84.4000	0.00015581
84.6000	0.00015588
84.8000	0.00015585
85.0000	0.00015585
85.2000	0.00015592
85.4000	0.00015589
85.6000	0.00015576
85.8000	0.00015580
86.0000	0.00015583
86.2000	0.00015582
86.4000	0.00015590
86.6000	0.00015587
86.8000	0.00015583
87.0000	0.00015585
87.2000	0.00015589
87.4000	0.00015577
87.6000	0.00015574
87.8000	0.00015584
88.0000	0.00015585
88.2000	0.00015583
88.4000	0.00015587
88.6000	0.00015585
88.8000	0.00015590
89.0000	0.00015590
89.2000	0.00015583
89.4000	0.00015589
89.6000	0.00015591
89.8000	0.00015587
90.0000	0.00015587
90.2000	0.00015584
90.4000	0.00015585
90.6000	0.00015577
90.8000	0.00015575
91.0000	0.00015584
91.2000	0.00015578
91.4000	0.00015585
91.6000	0.00015589
91.8000	0.00015590
92.0000	0.00015581
92.2000	0.00015588
92.4000	0.00015584
92.6000	0.00015576
92.8000	0.00015587
93.0000	0.00015581
93.2000	0.00015588
93.4000	0.00015584
93.6000	0.00015583
93.8000	0.00015577
94.0000	0.00015587
94.2000	0.00015579
94.4000	0.00015580
94.6000	0.00015572
94.8000	0.00015584
95.0000	0.00015582
95.2000	0.00015579
95.4000	0.00015584
95.6000	0.00015586
95.8000	0.00015589
96.0000	0.00015579
96.2000	0.00015585
96.4000	0.00015590
96.6000	0.00015583
96.8000	0.00015588
97.0000	0.00015585
97.2000	0.00015580
97.4000	0.00015581
97.6000	0.00015582
97.8000	0.00015583
98.0000	0.00015582
98.2000	0.00015585
98.4000	0.00015588
98.6000	0.00015579
98.8000	0.00015917
99.0000	0.00016665
99.2000	0.00016765
99.4000	0.00016876
99.6000	0.00017600
99.8000	0.00017600
100.0000	0.00017592
100.2000	0.00017604
100.4000	0.00017586
100.6000	0.00017593
100.8000	0.00017602
101.0000	0.00017592
101.2000	0.00017597
101.4000	0.00017598
101.6000	0.00017600
101.8000	0.00017591
102.0000	0.00017594
102.2000	0.00017595
102.4000	0.00017603
102.6000	0.00017601
102.8000	0.00017607
103.0000	0.00017603
103.2000	0.00017596
103.4000	0.00017607
103.6000	0.00017600
103.8000	0.00017603
104.0000	0.00017612
104.2000	0.00017602
104.4000	0.00017596
104.6000	0.00017602
104.8000	0.00017600
105.0000	0.00017596
105.2000	0.00017603
105.4000	0.00017598
105.6000	0.00017599
105.8000	0.00017600
106.0000	0.00017611
106.2000	0.00017601
106.4000	0.00017603
106.6000	0.00017603
106.8000	0.00017598
107.0000	0.00017589
107.2000	0.00017595
107.4000	0.00017599
107.6000	0.00017590
107.8000	0.00017602
108.0000	0.00017599
108.2000	0.00017600
108.4000	0.00017590
108.6000	0.00017595
108.8000	0.00017597
109.0000	0.00017595
109.2000	0.00017594
109.4000	0.00017597
109.6000	0.00017600
109.8000	0.00017595
110.0000	0.00017600
110.2000	0.00017601
110.4000	0.00017606
110.6000	0.00017605
110.8000	0.00017602
111.0000	0.00017596
111.2000	0.00017593
111.4000	0.00017593
111.6000	0.00017603
111.8000	0.00017596
112.0000	0.00017609
112.2000	0.00017595
112.4000	0.00017590
112.6000	0.00017592
112.8000	0.00017593
113.0000	0.00017593
113.2000	0.00017601
113.4000	0.00017600
113.6000	0.00017601
113.8000	0.00017602
114.0000	0.00017599
114.2000	0.00017600
114.4000	0.00017599
114.6000	0.00017602
114.8000	0.00017596
115.0000	0.00017607
115.2000	0.00017594
115.4000	0.00017595
115.6000	0.00017598
115.8000	0.00017596
116.0000	0.00017599
116.2000	0.00017599
116.4000	0.00017601
116.6000	0.00017601
116.8000	0.00017597
117.0000	0.00017598
117.2000	0.00017598
117.4000	0.00017606
117.6000	0.00017601
117.8000	0.00017599
118.0000	0.00017609
118.2000	0.00017603
118.4000	0.00017606
118.6000	0.00017583
118.8000	0.00017595
119.0000	0.00017592
119.2000	0.00017606
119.4000	0.00017599
119.6000	0.00017593
119.8000	0.00017599
120.0000	0.00017601
120.2000	0.00017602
120.4000	0.00017737
120.6000	0.00018493
120.8000	0.00019229
121.0000	0.00019569
121.2000	0.00019620
121.4000	0.00019611
121.6000	0.00019616
121.8000	0.00019619
122.0000	0.00019614
122.2000	0.00019607
122.4000	0.00019616
122.6000	0.00019625
122.8000	0.00019611
123.0000	0.00019611
123.2000	0.00019617
123.4000	0.00019607
123.6000	0.00019616
123.8000	0.00019616
124.0000	0.00019615
124.2000	0.00019607
124.4000	0.00019609
124.6000	0.00019619
124.8000	0.00019610
125.0000	0.00019611
125.2000	0.00019619
125.4000	0.00019620
125.6000	0.00019611
125.8000	0.00019617
126.0000	0.00019611
126.2000	0.00019613
126.4000	0.00019618
126.6000	0.00019620
126.8000	0.00019616
127.0000	0.00019617
127.2000	0.00019619
127.4000	0.00019613
127.6000	0.00019610
127.8000	0.00019619
128.0000	0.00019614
128.2000	0.00019614
128.4000	0.00019618
128.6000	0.00019617
128.8000	0.00019620
129.0000	0.00019617
129.2000	0.00019620
129.4000	0.00019622
129.6000	0.00019609
129.8000	0.00019618
130.0000	0.00019620
130.2000	0.00019622
130.4000	0.00019618
130.6000	0.00019615
130.8000	0.00019617
131.0000	0.00019621
131.2000	0.00019611
131.4000	0.00019604
131.6000	0.00019611
131.8000	0.00019617
132.0000	0.00019615
132.2000	0.00019611
132.4000	0.00019623
132.6000	0.00019620
132.8000	0.00019617
133.0000	0.00019619
133.2000	0.00019621
133.4000	0.00019617
133.6000	0.00019629
133.8000	0.00019613
134.0000	0.00019617
134.2000	0.00019608
134.4000	0.00019625
134.6000	0.00019617
134.8000	0.00019623
135.0000	0.00019619
135.2000	0.00019609
135.4000	0.00019607
135.6000	0.00019613
135.8000	0.00019615
136.0000	0.00019605
136.2000	0.00019610
136.4000	0.00019616
136.6000	0.00019622
136.8000	0.00019618
137.0000	0.00019616
137.2000	0.00019620
137.4000	0.00019623
137.6000	0.00019618
137.8000	0.00019611
138.0000	0.00019626
138.2000	0.00019620
138.4000	0.00019614
138.6000	0.00019616
138.8000	0.00019620
139.0000	0.00020219
139.2000	0.00020228
139.4000	0.00022528
139.6000	0.00023879
139.8000	0.00024067
140.0000	0.00024246
140.2000	0.00024189
140.4000	0.00024424
140.6000	0.00024104
140.8000	0.00024169
141.0000	0.00024656
141.2000	0.00024659
141.4000	0.00024659
141.6000	0.00024661
141.8000	0.00024656
142.0000	0.00024650
142.2000	0.00024652
142.4000	0.00024655
142.6000	0.00024651
142.8000	0.00024660
143.0000	0.00024652
143.2000	0.00024655
143.4000	0.00024652
143.6000	0.00024652
143.8000	0.00024657
144.0000	0.00024662
144.2000	0.00024651
144.4000	0.00024650
144.6000	0.00024657
144.8000	0.00024649
145.0000	0.00024647
145.2000	0.00024663
145.4000	0.00024652
145.6000	0.00024658
145.8000	0.00024657
146.0000	0.00024656
146.2000	0.00024652
146.4000	0.00024654
146.6000	0.00024662
146.8000	0.00024660
147.0000	0.00024652
147.2000	0.00024667
147.4000	0.00024655
147.6000	0.00024661
147.8000	0.00024653
148.0000	0.00024656
148.2000	0.00024665
148.4000	0.00024652
148.6000	0.00024657
148.8000	0.00024660
149.0000	0.00024645
149.2000	0.00024657
149.4000	0.00024658
149.6000	0.00024658
149.8000	0.00024661
150.0000	0.00024651
150.2000	0.00024657
150.4000	0.00024660
150.6000	0.00024658
150.8000	0.00024664
151.0000	0.00024656
151.2000	0.00024656
151.4000	0.00024647
151.6000	0.00024651
151.8000	0.00024663
152.0000	0.00024649
152.2000	0.00024655
152.4000	0.00024665
152.6000	0.00024646
152.8000	0.00024663
153.0000	0.00024651
153.2000	0.00024655
153.4000	0.00024655
153.6000	0.00024655
153.8000	0.00024655
154.0000	0.00024647
154.2000	0.00024643
154.4000	0.00024664
154.6000	0.00024650
154.8000	0.00024659
155.0000	0.00024645
155.2000	0.00024656
155.4000	0.00024654
155.6000	0.00024663
155.8000	0.00024656
156.0000	0.00024658
156.2000	0.00024655
156.4000	0.00024654
156.6000	0.00024655
156.8000	0.00024662
157.0000	0.00024666
157.2000	0.00024653
157.4000	0.00024657
157.6000	0.00024650
157.8000	0.00024661
158.0000	0.00024654
158.2000	0.00024657
158.4000	0.00024655
158.6000	0.00024658
158.8000	0.00024656
159.0000	0.00024662
159.2000	0.00026318
159.4000	0.00029653
159.6000	0.00031717
159.8000	0.00033576
160.0000	0.00033769
160.2000	0.00034615
160.4000	0.00034768
160.6000	0.00034730
160.8000	0.00034747
161.0000	0.00034733
161.2000	0.00034742
161.4000	0.00034733
161.6000	0.00034732
161.8000	0.00034736
162.0000	0.00034740
162.2000	0.00034742
162.4000	0.00034738
162.6000	0.00034733
162.8000	0.00034733
163.0000	0.00034735
163.2000	0.00034729
163.4000	0.00034712
163.6000	0.00034726
163.8000	0.00034746
164.0000	0.00034745
164.2000	0.00034735
164.4000	0.00034728
164.6000	0.00034735
164.8000	0.00034740
165.0000	0.00034735
165.2000	0.00034726
165.4000	0.00034741
165.6000	0.00034736
165.8000	0.00034736
166.0000	0.00034738
166.2000	0.00034738
166.4000	0.00034739
166.6000	0.00034732
166.8000	0.00034726
167.0000	0.00034741
167.2000	0.00034736
167.4000	0.00034746
167.6000	0.00034732
167.8000	0.00034735
168.0000	0.00034741
168.2000	0.00034738
168.4000	0.00034739
168.6000	0.00034735
168.8000	0.00034741
169.0000	0.00034734
169.2000	0.00034739
169.4000	0.00034741
169.6000	0.00034735
169.8000	0.00034736
170.0000	0.00034746
170.2000	0.00034735
170.4000	0.00034744
170.6000	0.00034731
170.8000	0.00034731
171.0000	0.00034731
171.2000	0.00034726
171.4000	0.00034744
171.6000	0.00034742
171.8000	0.00034741
172.0000	0.00034733
172.2000	0.00034737
172.4000	0.00034734
172.6000	0.00034734
172.8000	0.00034742
173.0000	0.00034734
173.2000	0.00034733
173.4000	0.00034738
173.6000	0.00034736
173.8000	0.00034739
174.0000	0.00034751
174.2000	0.00034729
174.4000	0.00034726
174.6000	0.00034728
174.8000	0.00034739
175.0000	0.00034742
175.2000	0.00034741
175.4000	0.00034736
175.6000	0.00034716
175.8000	0.00034721
176.0000	0.00034731
176.2000	0.00034730
176.4000	0.00034736
176.6000	0.00034748
176.8000	0.00034738
177.0000	0.00034732
177.2000	0.00034731
177.4000	0.00034737
177.6000	0.00034739
177.8000	0.00034736
178.0000	0.00034729
178.2000	0.00034735
178.4000	0.00034741
178.6000	0.00034738
178.8000	0.00034727
179.0000	0.00034733
179.2000	0.00034731
179.4000	0.00034744
179.6000	0.00034748
179.8000	0.00034728
180.0000	0.00034733
180.2000	0.00034743
180.4000	0.00034739
180.6000	0.00034741
180.8000	0.00034750
181.0000	0.00034745
181.2000	0.00034734
